After 4581 steps, the result is: 1. Time consuming: 0.586000 seconds.
After 9202 steps, the result is: 1. Time consuming: 4.344000 seconds.
After 50 steps, the result is: 819. Time consuming: 0.000000 seconds.
After 9164 steps, the result is: 5. Time consuming: 4.455000 seconds.
After 5587 steps, the result is: 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000. Time consuming: 2.358000 seconds.
After 2 steps, the result is: 27. Time consuming: 0.000000 seconds.
After 2 steps, the result is: 27. Time consuming: 0.000000 seconds.
After 0 steps, the result is: 54. Time consuming: 0.000000 seconds.
After 2 steps, the result is: 27. Time consuming: 0.000000 seconds.
After 625 steps, the result is: 27. Time consuming: 0.002000 seconds.
After 2 steps, the result is: 27. Time consuming: 0.000000 seconds.
After 0 steps, the result is: 81. Time consuming: 0.000000 seconds.
After 2 steps, the result is: 27. Time consuming: 0.000000 seconds.
After 3671 steps, the result is: 27. Time consuming: 0.330000 seconds.
After 3671 steps, the result is: 27. Time consuming: 0.382000 seconds.
After 3671 steps, the result is: 27. Time consuming: 0.381000 seconds.
After 3671 steps, the result is: 27. Time consuming: 0.401000 seconds.
After 3671 steps, the result is: 27. Time consuming: 0.349000 seconds.
After 3671 steps, the result is: 27. Time consuming: 0.321000 seconds.
